Datei,Zahl_ist,Zahl_vorhersage,Zahl_richtig,Person_ist,Person_vorhersage,Person_richtig,Digit_Confidence,Person_Confidence
Thanadon_3_21.jpg,3,3,True,Thanadon,Thanadon,True,0.79,1.0
Thanadon_3_22.jpg,3,3,True,Thanadon,Thanadon,True,0.88,1.0
Thanadon_3_23.jpg,3,3,True,Thanadon,Thanadon,True,0.5,1.0
Thanadon_4_20.jpg,4,4,True,Thanadon,Thanadon,True,0.44,1.0
Thanadon_4_21.jpg,4,4,True,Thanadon,Thanadon,True,0.83,1.0
Thanadon_4_22.jpg,4,4,True,Thanadon,Thanadon,True,0.99,1.0
Thanadon_4_23.jpg,4,4,True,Thanadon,Thanadon,True,0.93,1.0
Thanadon_5_20.jpg,5,0,False,Thanadon,Thanadon,True,0.71,1.0
Thanadon_5_21.jpg,5,0,False,Thanadon,Thanadon,True,0.61,1.0
Thanadon_5_22.jpg,5,5,True,Thanadon,Thanadon,True,0.88,1.0
Thanadon_5_23.jpg,5,5,True,Thanadon,Thanadon,True,0.91,1.0
Thanadon_6_20.jpg,6,6,True,Thanadon,Thanadon,True,0.96,1.0
Thanadon_6_21.jpg,6,6,True,Thanadon,Thanadon,True,1.0,1.0
Thanadon_6_22.jpg,6,6,True,Thanadon,Thanadon,True,0.9,1.0
Thanadon_6_23.jpg,6,6,True,Thanadon,Thanadon,True,0.85,1.0
Thanadon_7_20.jpg,7,7,True,Thanadon,Thanadon,True,0.98,1.0
Thanadon_7_21.jpg,7,7,True,Thanadon,Thanadon,True,1.0,0.98
Thanadon_7_22.jpg,7,7,True,Thanadon,Thanadon,True,0.65,0.99
Thanadon_7_23.jpg,7,7,True,Thanadon,Thanadon,True,0.98,1.0
Thanadon_8_20.jpg,8,8,True,Thanadon,Thanadon,True,0.98,1.0
Thanadon_8_21.jpg,8,8,True,Thanadon,Thanadon,True,0.59,1.0
Thanadon_8_22.jpg,8,8,True,Thanadon,Thanadon,True,0.99,1.0
Thanadon_8_23.jpg,8,8,True,Thanadon,Thanadon,True,0.97,1.0
Thanadon_9_20.jpg,9,9,True,Thanadon,Thanadon,True,0.87,1.0
Thanadon_9_21.jpg,9,9,True,Thanadon,Thanadon,True,0.92,1.0
Thanadon_9_22.jpg,9,2,False,Thanadon,Thanadon,True,0.97,1.0
Thanadon_9_23.jpg,9,2,False,Thanadon,Thanadon,True,0.98,1.0
Tim_0_20.jpg,0,0,True,Tim,Tim,True,1.0,0.75
Tim_0_21.jpg,0,0,True,Tim,Unbekannt,False,0.98,0.55
Tim_0_22.jpg,0,0,True,Tim,Unbekannt,False,0.99,0.64
Tim_0_23.jpg,0,0,True,Tim,Unbekannt,False,0.97,0.49
Tim_1_20.jpg,1,1,True,Tim,Unbekannt,False,0.95,0.66
Tim_1_21.jpg,1,1,True,Tim,Unbekannt,False,0.67,0.69
Tim_1_22.jpg,1,1,True,Tim,Unbekannt,False,0.96,0.4
Tim_1_23.jpg,1,1,True,Tim,Unbekannt,False,0.86,0.48
Tim_2_20.jpg,2,2,True,Tim,Tim,True,0.92,1.0
Tim_2_21.jpg,2,2,True,Tim,Tim,True,0.96,1.0
Tim_2_22.jpg,2,2,True,Tim,Tim,True,0.68,0.84
Tim_2_23.jpg,2,2,True,Tim,Tim,True,0.98,1.0
Tim_3_20.jpg,3,5,False,Tim,Tim,True,0.32,1.0
Tim_3_21.jpg,3,3,True,Tim,Unbekannt,False,1.0,0.46
Tim_3_22.jpg,3,9,False,Tim,Tim,True,0.65,0.99
Tim_3_23.jpg,3,3,True,Tim,Tim,True,0.49,0.75
Tim_4_20.jpg,4,4,True,Tim,Thanadon,False,0.99,0.95
Tim_4_21.jpg,4,4,True,Tim,Unbekannt,False,0.43,0.64
Tim_4_22.jpg,4,4,True,Tim,Unbekannt,False,0.39,0.54
Tim_4_23.jpg,4,4,True,Tim,Unbekannt,False,0.89,0.63
Tim_5_20.jpg,5,9,False,Tim,Tim,True,0.48,0.98
Tim_5_21.jpg,5,2,False,Tim,Tim,True,0.53,1.0
Tim_5_22.jpg,5,6,False,Tim,Tim,True,0.49,1.0
Tim_5_23.jpg,5,5,True,Tim,Tim,True,0.37,1.0
Tim_6_20.jpg,6,6,True,Tim,Unbekannt,False,0.94,0.62
Tim_6_21.jpg,6,6,True,Tim,Tim,True,0.61,1.0
Tim_6_22.jpg,6,6,True,Tim,Tim,True,0.87,1.0
Tim_6_23.jpg,6,6,True,Tim,Unbekannt,False,0.93,0.39
Tim_7_20.jpg,7,7,True,Tim,Tim,True,0.88,0.91
Tim_7_21.jpg,7,7,True,Tim,Thanadon,False,1.0,0.97
Tim_7_22.jpg,7,7,True,Tim,Tim,True,0.89,1.0
Tim_7_23.jpg,7,7,True,Tim,Tim,True,1.0,1.0
Tim_8_20.jpg,8,8,True,Tim,Tim,True,1.0,1.0
Tim_8_21.jpg,8,8,True,Tim,Tim,True,0.86,1.0
Tim_8_22.jpg,8,8,True,Tim,Tim,True,0.88,0.79
Tim_8_23.jpg,8,8,True,Tim,Tim,True,0.82,1.0
Tim_9_20.jpg,9,9,True,Tim,Tim,True,0.91,1.0
Tim_9_21.jpg,9,9,True,Tim,Tim,True,0.98,1.0
Tim_9_22.jpg,9,9,True,Tim,Tim,True,0.98,1.0
Tim_9_23.jpg,9,3,False,Tim,Unbekannt,False,0.75,0.52
